iteration k,v1*vk,relative residual
471,3.48616e-15,1.38557e-07
472,-2.74105e-15,1.35613e-07
473,-4.5329e-16,1.3354e-07
474,3.49494e-15,1.19654e-07
475,1.44185e-16,1.06728e-07
476,7.99034e-15,1.05069e-07
477,-7.14526e-16,1.00922e-07
478,-1.30811e-16,9.69128e-08
479,-9.44134e-15,8.1997e-08
480,1.96632e-15,7.43426e-08
481,-5.88742e-16,7.34973e-08
482,-4.63365e-15,6.88976e-08
483,5.33966e-16,6.43281e-08
484,-2.2638e-15,5.47727e-08
485,2.30495e-16,5.18412e-08
486,-3.2619e-15,5.15247e-08
487,1.17697e-14,4.94358e-08
488,1.14835e-15,4.64737e-08
489,-7.20491e-16,4.4397e-08
490,-4.01816e-15,4.26938e-08
491,-1.63107e-15,4.2384e-08
492,9.47081e-15,4.05963e-08
493,3.83292e-16,3.40446e-08
494,8.87811e-16,3.05255e-08
495,3.39558e-15,2.80383e-08
496,9.99273e-16,2.78302e-08
497,-1.468e-15,2.6631e-08
498,-3.3281e-16,2.33363e-08
499,-2.58718e-15,2.23799e-08
500,5.79389e-16,2.15974e-08
501,-1.4747e-15,2.12461e-08
502,5.2497e-15,1.96691e-08
503,-2.95176e-16,1.63231e-08
504,5.86976e-16,1.59176e-08
505,-1.26258e-14,1.56474e-08
506,1.1978e-15,1.52175e-08
507,8.85568e-15,1.47596e-08
508,-3.7529e-16,1.14691e-08
509,9.87237e-16,1.13247e-08
510,-7.89647e-15,1.11286e-08
511,-7.86717e-15,9.75965e-09
