Iteration #,Relative Residual
1139,0.00368978
1140,0.00363025
1141,0.00361569
1142,0.00358173
1143,0.00356269
1144,0.00355748
1145,0.0035539
1146,0.00351978
1147,0.00350026
1148,0.00347796
1149,0.00346032
1150,0.00344868
1151,0.00343691
1152,0.0034266
1153,0.00341653
1154,0.00339379
1155,0.00336927
1156,0.00336254
1157,0.00335459
1158,0.00334903
1159,0.00334872
1160,0.00334871
1161,0.0033487
1162,0.00334825
1163,0.00334411
1164,0.0033223
1165,0.00330216
1166,0.00328807
1167,0.00327656
1168,0.00326997
1169,0.0032645
1170,0.00325509
1171,0.00325301
1172,0.00325145
1173,0.00325145
1174,0.00325136
1175,0.00325133
1176,0.00324999
1177,0.00324829
1178,0.00324675
1179,0.00324598
1180,0.00324281
1181,0.00323816
1182,0.0032323
1183,0.00322591
1184,0.00321689
1185,0.00320965
1186,0.00320001
1187,0.00319303
1188,0.0031879
1189,0.00316237
1190,0.00315758
1191,0.00315284
1192,0.00315061
1193,0.00314906
1194,0.00314013
1195,0.00310893
1196,0.00309932
1197,0.00308964
1198,0.00308696
1199,0.00307197
1200,0.00302367
1201,0.00301614
1202,0.00300085
1203,0.00299837
1204,0.00299837
1205,0.00299832
1206,0.00299461
1207,0.0029937
1208,0.00298543
1209,0.00298305
1210,0.00298075
1211,0.00297404
1212,0.00296314
1213,0.00294571
1214,0.00293031
1215,0.00290778
1216,0.00289601
1217,0.00286987
1218,0.00285927
1219,0.00285311
1220,0.00285209
1221,0.0028516
1222,0.0028506
1223,0.00284964
1224,0.00283706
1225,0.00282746
1226,0.00282039
1227,0.00281545
1228,0.00281325
1229,0.00281173
1230,0.00280353
1231,0.00279976
1232,0.00279765
1233,0.00279746
1234,0.0027964
1235,0.00279578
1236,0.00279432
1237,0.00279252
1238,0.00279109
1239,0.00279065
1240,0.00279051
1241,0.00278846
1242,0.00278134
1243,0.00276961
1244,0.00275863
1245,0.00274574
1246,0.00273279
1247,0.00272395
1248,0.00271675
1249,0.0027111
1250,0.00270686
1251,0.00269939
1252,0.00269684
1253,0.00269476
1254,0.00268984
1255,0.00267388
1256,0.00266786
1257,0.00265584
1258,0.00265264
1259,0.0026355
1260,0.00262234
1261,0.00262025
1262,0.00261239
1263,0.00261093
1264,0.00261086
1265,0.00261075
1266,0.0026098
1267,0.00260979
1268,0.00260241
1269,0.00259851
1270,0.00259213
1271,0.00258654
1272,0.00258248
1273,0.00257037
1274,0.00256204
1275,0.00254876
1276,0.0025393
1277,0.00252284
1278,0.00251238
1279,0.00250363
1280,0.00250219
1281,0.00250164
1282,0.0025009
1283,0.00249931
1284,0.00249269
1285,0.00247968
1286,0.00246655
1287,0.00246447
1288,0.0024609
1289,0.00245798
1290,0.00245214
1291,0.00245011
1292,0.00244928
1293,0.00244926
1294,0.00244926
1295,0.0024492
1296,0.0024488
1297,0.00244852
1298,0.00244826
1299,0.00244748
1300,0.00244413
1301,0.00243811
1302,0.00243064
1303,0.00242505
1304,0.00241335
1305,0.00240683
1306,0.0024006
1307,0.00239617
1308,0.00238916
1309,0.00237351
1310,0.0023693
1311,0.00236351
1312,0.00236216
1313,0.00236183
1314,0.00236039
1315,0.00235454
1316,0.00234652
1317,0.00233108
1318,0.00232802
1319,0.00231543
1320,0.00229723
1321,0.00229482
1322,0.0022829
1323,0.00227872
1324,0.00227864
1325,0.00227854
1326,0.00227846
1327,0.00227846
1328,0.00227089
1329,0.00226469
1330,0.00225901
1331,0.00225455
1332,0.00225206
1333,0.00224537
